server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
rs,producers-consumers,10,16,1,1,108795.5,195.5,88.9,173.8,215.1,89.8,174.0,216.2,88.6,172.9,216.3,7.52
ref,producers-consumers,10,16,1,2,110792.0,87.1,84.8,194.7,247.4,85.8,196.1,248.2,84.2,194.6,251.4,7.89
rs,producers-consumers,10,16,1,2,108194.6,195.3,89.5,174.3,213.0,90.2,175.0,212.3,89.0,174.2,215.3,7.98
ref,producers-consumers,10,16,1,3,126308.4,89.0,74.5,160.4,218.3,75.8,160.7,219.4,74.0,159.9,217.6,8.57
rs,producers-consumers,10,16,1,3,119478.7,187.7,80.0,166.8,221.8,81.0,168.4,219.1,79.8,165.6,223.4,7.94
ref,producers-consumers,10,4096,1,1,104162.5,88.5,101.5,222.1,296.0,84.1,183.0,234.9,81.5,180.2,232.4,8.26
rs,producers-consumers,10,4096,1,1,101157.8,205.6,96.5,185.5,230.8,96.2,185.1,230.2,93.9,182.0,226.3,7.98
ref,producers-consumers,10,4096,1,2,107164.2,88.3,95.7,276.2,635.0,78.4,220.0,533.8,75.5,216.3,490.5,8.22
rs,producers-consumers,10,4096,1,2,113077.3,200.7,85.7,173.1,234.6,85.4,172.5,225.4,83.5,170.9,225.0,7.96
ref,producers-consumers,10,4096,1,3,106073.2,90.3,99.7,221.8,292.2,82.2,182.0,234.8,79.5,178.2,229.8,8.04
rs,producers-consumers,10,4096,1,3,102752.1,205.7,94.7,184.1,237.0,94.5,184.3,236.1,92.2,180.5,230.4,7.95
ref,producers-consumers,100,16,1,1,137249.1,98.6,718.7,1025.3,1437.4,719.5,1027.5,1405.1,718.3,1026.7,1455.0,8.51
rs,producers-consumers,100,16,1,1,94721.0,212.0,867.5,3668.0,5939.6,867.2,3671.7,6086.1,867.4,3672.2,5921.4,8.34
ref,producers-consumers,100,16,1,2,56213.1,74.0,1672.7,4279.7,9511.7,1672.5,4312.6,9477.0,1677.7,4266.9,9612.8,10.66
rs,producers-consumers,100,16,1,2,125111.5,302.1,786.6,1363.5,2734.0,787.4,1374.2,2789.6,786.6,1353.4,2672.8,11.47
ref,producers-consumers,100,16,1,3,146585.5,98.6,679.8,948.1,1323.4,681.0,947.0,1328.8,679.0,947.1,1338.6,11.54
rs,producers-consumers,100,16,1,3,130865.0,308.7,758.2,1024.3,1403.5,759.0,1026.6,1380.2,758.2,1023.8,1440.1,11.26
ref,producers-consumers,100,4096,1,1,132067.9,98.5,929.4,1262.6,1624.7,633.8,881.7,1274.4,631.8,881.2,1283.9,11.74
rs,producers-consumers,100,4096,1,1,130225.0,325.2,765.1,1038.0,1573.1,764.5,1037.1,1515.2,762.4,1032.2,1579.3,11.44
