server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes
rs,producers-consumers,10,4096,1,3,104064.2,191.0,92.9,192.5,287.5,92.5,191.7,289.8,90.6,188.0,281.7,8.37,0,0
ref,producers-consumers,100,16,1,1,151456.1,98.6,618.7,1197.0,1883.6,619.8,1197.0,1867.1,618.5,1190.5,1873.1,9.71,0,0
rs,producers-consumers,100,16,1,1,124258.5,241.6,795.8,1209.4,2020.5,796.8,1213.4,1964.6,795.7,1209.7,1994.0,9.31,0,0
ref,producers-consumers,100,16,1,2,145214.7,98.3,711.8,1019.8,2266.1,712.8,1024.9,2110.6,710.8,1018.8,2254.6,10.34,0,0
rs,producers-consumers,100,16,1,2,129613.6,246.0,767.5,1058.8,1776.7,768.4,1059.6,1697.5,767.1,1059.0,1704.5,9.66,0,0
ref,producers-consumers,100,16,1,3,128582.6,98.8,769.6,1048.3,1772.2,770.6,1051.2,1779.2,768.8,1046.8,1752.0,9.69,0,0
rs,producers-consumers,100,16,1,3,127671.8,245.3,779.1,1082.0,1519.5,780.6,1088.4,1528.0,778.6,1082.9,1523.3,9.59,0,0
ref,producers-consumers,100,4096,1,1,116286.7,98.7,1049.1,1382.2,2150.1,717.5,981.3,1631.8,715.7,977.9,1621.0,10.93,0,0
rs,producers-consumers,100,4096,1,1,125826.9,262.1,793.5,1191.4,1799.9,794.3,1185.5,1833.9,791.7,1193.2,1766.2,10.77,0,0
ref,producers-consumers,100,4096,1,2,113544.1,98.2,1066.5,1528.4,2198.1,728.5,1075.6,1596.0,727.0,1066.9,1598.5,11.94,0,0
rs,producers-consumers,100,4096,1,2,123580.6,265.7,806.4,1118.4,1629.3,806.9,1119.3,1605.3,804.7,1117.8,1615.1,11.23,0,0
ref,producers-consumers,100,4096,1,3,118966.3,98.6,1038.2,1393.2,1913.0,709.4,986.7,1387.8,707.2,979.9,1406.1,11.21,0,0
rs,producers-consumers,100,4096,1,3,123992.6,264.3,805.4,1096.6,1512.7,805.6,1099.1,1523.2,803.0,1091.6,1508.0,11.49,0,0
ref,put-only,1,16,1,1,35356.3,32.9,24.0,74.8,109.7,,,,,,,11.30,0,0
rs,put-only,1,16,1,1,34519.0,35.3,24.7,77.2,107.6,,,,,,,10.45,0,0
ref,put-only,1,16,1,2,35597.2,32.6,24.0,74.1,102.5,,,,,,,9.69,0,0
rs,put-only,1,16,1,2,33093.5,35.1,25.2,83.2,138.0,,,,,,,9.25,0,0
ref,put-only,1,16,1,3,35349.7,33.1,23.9,79.2,151.2,,,,,,,10.30,0,0
rs,put-only,1,16,1,3,36019.7,35.7,22.2,84.4,172.9,,,,,,,9.48,0,0
ref,put-only,1,4096,1,1,34153.0,34.5,24.9,76.5,106.0,,,,,,,9.24,0,0
rs,put-only,1,4096,1,1,32616.2,39.0,25.9,81.1,114.6,,,,,,,8.51,0,0
ref,put-only,1,4096,1,2,33471.7,34.3,25.5,76.8,108.2,,,,,,,8.46,0,0
rs,put-only,1,4096,1,2,32661.5,38.7,25.9,80.2,109.0,,,,,,,7.92,0,0
ref,put-only,1,4096,1,3,33971.3,34.5,25.1,76.3,107.7,,,,,,,7.65,0,0
rs,put-only,1,4096,1,3,32515.0,38.2,26.1,80.0,111.2,,,,,,,7.99,0,0
ref,put-only,10,16,1,1,112506.5,86.2,82.8,197.0,253.3,,,,,,,7.48,0,0
rs,put-only,10,16,1,1,111861.6,177.2,86.2,169.7,212.8,,,,,,,8.21,0,0
ref,put-only,10,16,1,2,113216.7,85.3,82.8,193.0,251.5,,,,,,,9.13,0,0
rs,put-only,10,16,1,2,112180.1,175.9,86.0,168.2,209.8,,,,,,,8.80,0,0
ref,put-only,10,16,1,3,115409.0,87.0,81.1,188.3,243.5,,,,,,,9.81,0,0
rs,put-only,10,16,1,3,110893.0,177.8,87.2,167.4,209.8,,,,,,,9.31,0,0
ref,put-only,10,4096,1,1,95381.6,88.0,94.8,231.9,881.8,,,,,,,9.24,0,0
