server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,100,16,1,1,108508.1,188.8,920.1,1213.3,1310.2,919.9,1210.6,1312.2,919.8,1212.1,1305.5,4.24,0,0,cluster-follower,,3,follower,269.7,1:F*:185.8;2:F:32.0;3:L:51.9,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,2,206389.9,199.5,479.2,637.3,748.1,479.4,637.2,739.5,478.8,635.2,732.9,4.78,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,2,136138.0,211.5,728.0,976.2,1122.8,728.2,974.4,1119.9,727.7,975.4,1127.0,5.28,0,0,cluster-leader,,3,leader,274.2,1:F:33.2;2:F:32.2;3:L*:208.8,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,2,108312.7,187.5,919.5,1223.8,1349.9,920.3,1223.0,1348.1,919.8,1223.7,1339.2,5.98,0,0,cluster-follower,,3,follower,269.6,1:F*:184.5;2:F:31.4;3:L:53.7,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,3,206860.6,199.7,477.8,640.7,742.5,477.8,640.9,730.9,477.2,638.0,728.7,5.74,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,3,130427.7,223.7,759.8,1033.2,1417.9,759.5,1032.0,1356.8,759.0,1032.0,1427.8,5.53,0,0,cluster-leader,,3,leader,290.1,1:F:34.8;2:F:34.6;3:L*:220.7,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,3,107489.1,191.4,927.7,1233.8,1361.6,927.8,1234.8,1380.2,927.2,1234.7,1363.9,6.69,0,0,cluster-follower,,3,follower,271.0,1:F*:188.2;2:F:31.7;3:L:51.1,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,4,209742.4,193.8,468.5,663.0,955.7,468.9,664.6,993.3,468.4,662.5,933.4,6.96,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,4,135255.8,212.4,734.0,982.3,1129.6,733.8,983.9,1133.8,734.1,981.2,1125.6,6.81,0,0,cluster-leader,,3,leader,276.0,1:F:33.2;2:F:33.2;3:L*:209.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,4,108775.0,189.1,916.0,1226.3,1339.9,915.4,1224.0,1336.1,915.6,1225.3,1337.9,7.06,0,0,cluster-follower,,3,follower,269.5,1:F*:186.0;2:F:31.2;3:L:52.3,0,0,0,0,0,0,0,0
