server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,100,16,1,2,21973.7,45.4,4563.8,6032.7,6573.8,4505.6,5971.6,6539.1,4500.8,5971.9,7456.8,7.64,0,0,cluster-follower,,3,follower,93.4,1:F*:45.2;2:F:6.7;3:L:41.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,3,160702.6,246.4,616.5,880.1,1393.9,616.9,875.1,1392.4,616.4,875.4,1395.5,7.50,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,3,31223.7,99.5,3239.6,4131.2,4799.0,3202.3,4013.8,4488.9,3199.3,4007.7,4482.2,7.77,0,0,cluster-leader,,3,leader,114.5,1:F:7.9;2:F:7.9;3:L*:98.7,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,3,22065.7,46.5,4566.7,5966.0,7763.6,4520.2,5920.5,6637.7,4507.3,5918.8,6440.2,8.19,0,0,cluster-follower,,3,follower,95.6,1:F*:46.4;2:F:7.0;3:L:42.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,4,157451.7,240.7,616.1,935.7,1130.8,617.0,936.7,1123.4,615.9,935.6,1124.3,8.33,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,4,28433.4,100.3,3579.6,4579.0,4919.8,3509.4,4447.5,4828.5,3503.3,4423.5,4753.2,8.63,0,0,cluster-leader,,3,leader,114.5,1:F:7.5;2:F:7.5;3:L*:99.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,4,20791.2,43.4,4831.2,6181.2,6936.4,4808.8,6189.3,6909.6,4802.8,6165.9,7093.7,8.50,0,0,cluster-follower,,3,follower,92.3,1:F*:43.2;2:F:6.8;3:L:42.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,5,162951.8,236.4,601.8,905.6,1077.8,602.7,904.2,1106.0,601.5,901.2,1067.2,8.30,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,5,29033.8,101.3,3477.1,4582.7,4908.9,3438.5,4399.6,4785.8,3433.0,4358.1,4817.0,8.28,0,0,cluster-leader,,3,leader,115.9,1:L*:100.5;2:F:7.7;3:F:7.7,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,5,21122.8,44.1,4653.9,7902.3,31412.2,4560.5,7859.4,23050.4,4556.6,7803.4,31325.8,7.45,0,0,cluster-follower,,3,follower,89.7,1:L:38.7;2:F*:44.0;3:F:7.0,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,1,159655.4,249.5,619.7,890.2,1049.5,619.2,894.2,1065.5,618.2,888.0,1061.1,7.18,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,1,18195.6,66.8,3659.0,53997.2,457412.6,3568.9,52906.1,457288.1,3549.0,52938.2,329277.3,7.64,0,0,cluster-leader,,3,leader,79.2,1:F:6.3;2:F:6.3;3:L*:66.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,1,19334.9,42.7,4977.6,9057.2,64648.9,4900.0,9049.6,54816.2,4883.3,8909.3,54777.0,7.19,0,0,cluster-follower,,3,follower,89.3,1:F*:42.6;2:L:39.1;3:F:7.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,2,162402.7,246.8,606.5,907.3,1120.7,606.4,904.4,1101.5,605.0,902.1,1103.4,7.42,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,2,20447.9,77.0,3741.2,16786.4,182652.0,3698.6,13574.8,182515.0,3685.0,13619.0,189611.5,6.98,0,0,cluster-leader,,3,leader,90.6,1:F:6.9;2:F:7.1;3:L*:76.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,2,17115.6,37.7,5119.9,11701.0,186280.1,5000.3,11308.8,186329.4,4970.6,11464.6,147873.7,6.82,0,0,cluster-follower,,3,follower,81.0,1:F*:37.6;2:F:6.8;3:L:36.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,3,140273.4,234.2,668.5,1507.9,2898.7,668.2,1511.2,2930.5,666.8,1503.0,2820.8,6.91,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,3,20532.2,78.7,3815.5,9405.7,172771.4,3732.3,8981.9,171239.6,3721.8,9786.2,172637.6,7.21,0,0,cluster-leader,,3,leader,92.4,1:F:7.1;2:F:7.1;3:L*:78.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,3,19377.9,43.1,5108.7,8480.0,11131.7,5059.2,8198.2,55163.1,5041.8,7880.6,11153.6,6.95,0,0,cluster-follower,,3,follower,94.4,1:F*:43.0;2:F:8.0;3:L:43.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,4,158228.6,250.6,624.4,911.4,1688.0,624.1,915.8,1590.6,622.6,913.0,1596.0,6.55,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,4,21130.7,80.6,3789.1,7509.1,180897.4,3704.8,7518.0,241007.8,3694.6,6346.4,180837.0,6.83,0,0,cluster-leader,,3,leader,94.7,1:F:7.3;2:F:7.3;3:L*:80.1,0,0,0,0,0,0,0,0
