server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
ref,put-only,1,16,1,1,37797.4,32.7,23.1,69.9,121.0,,,,,,,9.54
rs,put-only,1,16,1,1,37448.8,37.5,23.2,68.8,108.6,,,,,,,12.69
ref,put-only,1,16,1,2,49445.5,33.8,18.5,43.3,69.6,,,,,,,12.67
rs,put-only,1,16,1,2,47052.0,37.7,19.2,46.8,80.2,,,,,,,10.61
ref,put-only,1,16,1,3,42760.6,32.8,20.6,60.9,90.5,,,,,,,9.16
rs,put-only,1,16,1,3,41238.2,36.9,21.1,63.1,92.2,,,,,,,8.53
ref,put-only,1,4096,1,1,43888.0,35.5,20.0,58.5,88.6,,,,,,,7.61
rs,put-only,1,4096,1,1,37863.0,40.1,22.9,68.9,101.5,,,,,,,7.37
ref,put-only,1,4096,1,2,31538.6,28.2,19.2,201.9,1371.0,,,,,,,6.70
rs,put-only,1,4096,1,2,16174.0,32.2,45.3,715.0,2407.0,,,,,,,8.16
ref,put-only,1,4096,1,3,36824.4,34.1,21.8,76.8,221.3,,,,,,,9.24
rs,put-only,1,4096,1,3,36976.5,40.0,23.6,69.5,99.0,,,,,,,8.47
ref,put-only,10,16,1,1,128220.0,87.2,72.5,163.1,220.8,,,,,,,7.56
rs,put-only,10,16,1,1,121331.2,182.6,78.7,160.8,213.3,,,,,,,7.44
ref,put-only,10,16,1,2,129933.9,88.9,71.7,160.4,229.0,,,,,,,7.77
rs,put-only,10,16,1,2,119526.7,183.7,80.5,158.5,196.7,,,,,,,7.30
ref,put-only,10,16,1,3,127676.6,86.7,73.2,162.6,221.6,,,,,,,7.44
rs,put-only,10,16,1,3,120835.7,185.8,79.6,157.1,195.9,,,,,,,7.36
ref,put-only,10,4096,1,1,113978.2,91.7,83.4,169.9,226.5,,,,,,,6.62
rs,put-only,10,4096,1,1,111912.0,207.0,85.6,170.5,213.2,,,,,,,6.46
ref,put-only,10,4096,1,2,111649.0,90.0,85.1,172.5,225.1,,,,,,,7.00
rs,put-only,10,4096,1,2,115879.3,203.5,82.6,167.5,215.1,,,,,,,6.86
ref,put-only,10,4096,1,3,114126.8,92.0,82.9,167.8,235.6,,,,,,,7.11
rs,put-only,10,4096,1,3,111374.3,205.6,86.1,173.1,222.8,,,,,,,6.78
