server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode
rs,put-reserve-delete,100,16,1,1,195711.6,247.9,502.1,729.0,1766.1,501.2,726.8,1703.3,501.8,725.3,1728.4,7.22,0,0,default
ref,put-reserve-delete,100,16,1,1,53199.0,62.2,1992.2,3025.4,7221.5,1668.3,2696.3,3784.8,1973.4,2961.8,7223.3,7.44,0,0,f0
rs,put-reserve-delete,100,16,1,1,70485.5,122.3,1564.4,2111.5,3863.5,1352.0,1946.8,3221.6,1344.2,1928.8,3449.8,7.65,0,0,f0
ref,put-reserve-delete,100,16,1,2,192712.5,99.1,512.2,681.3,836.5,513.1,682.9,834.6,512.1,681.5,829.0,7.68,0,0,none
rs,put-reserve-delete,100,16,1,2,219985.2,180.1,447.5,616.8,776.3,447.8,615.3,769.8,447.2,616.2,751.2,7.62,0,0,none
ref,put-reserve-delete,100,16,1,2,126124.1,97.9,773.1,1291.9,1532.8,755.8,1271.2,1605.4,764.3,1283.5,1553.6,7.97,0,0,F
rs,put-reserve-delete,100,16,1,2,200634.0,241.9,488.8,718.0,1020.4,487.8,715.0,917.6,488.1,716.0,897.2,7.81,0,0,F
ref,put-reserve-delete,100,16,1,2,114025.9,97.4,797.8,2356.5,3148.6,779.0,2308.2,3105.7,789.1,2339.8,3186.0,7.83,0,0,default
rs,put-reserve-delete,100,16,1,2,202455.4,236.3,465.3,753.9,1444.8,465.3,752.6,1380.4,465.4,753.4,1219.9,7.68,0,0,default
ref,put-reserve-delete,100,16,1,2,50245.6,61.7,2051.4,4456.0,5435.3,1679.3,2972.2,4354.1,1997.7,4238.3,6945.8,7.71,0,0,f0
rs,put-reserve-delete,100,16,1,2,70685.9,123.6,1536.5,2067.0,2861.6,1381.7,1934.0,2289.7,1375.8,1923.7,2376.0,7.49,0,0,f0
ref,put-reserve-delete,100,16,1,3,190101.6,98.9,516.5,709.0,808.7,517.6,709.8,812.3,516.5,709.3,807.7,7.53,0,0,none
rs,put-reserve-delete,100,16,1,3,214085.3,187.7,453.1,687.3,794.4,453.4,688.9,797.0,453.0,688.0,797.7,7.33,0,0,none
ref,put-reserve-delete,100,16,1,3,126083.8,98.3,779.2,1308.3,1763.7,760.8,1256.3,1584.9,770.2,1284.0,1664.9,7.54,0,0,F
rs,put-reserve-delete,100,16,1,3,195505.2,250.0,504.0,722.1,1101.9,503.0,719.0,1111.4,503.6,720.5,1021.5,7.58,0,0,F
ref,put-reserve-delete,100,16,1,3,128790.7,98.6,767.2,1178.8,1671.6,752.7,1134.0,1666.0,760.2,1161.5,1684.6,7.53,0,0,default
rs,put-reserve-delete,100,16,1,3,204630.1,234.3,469.7,707.5,1634.2,469.0,707.0,1462.0,469.5,707.2,1431.0,7.33,0,0,default
ref,put-reserve-delete,100,16,1,3,48094.0,58.5,2116.8,4871.1,11618.0,1861.9,3745.7,6932.7,2076.5,4697.3,7555.4,9.79,0,0,f0
